"","idno","cntry","nwspol","netusoft","netustm","ppltrst","pplfair","psppsgva","cptppola","trstprl","trstlgl","trstsci","vote","happy","wkhtot","agepnt","gndr","region"
"2432",15891,"FI",60,5,60,8,7,3,2,9,9,8,"Yes",9,32,79,"Female","FI193"
"2433",15916,"FI",30,5,360,8,8,1,3,5,5,7,"Yes",10,40,68,"Male","FI1B1"
"2434",15934,"FI",120,5,300,8,4,3,2,8,8,7,"Not eligble",6,30,60,"Male","FI1B1"
"2435",15971,"FI",60,5,330,8,9,2,4,7,7,9,"No",8,46,71,"Female","FI1C1"
"2436",15972,"FI",10,5,120,7,7,3,4,7,8,9,"No",8,40,57,"Female","FI194"
"2437",15978,"FI",30,5,300,7,6,1,1,4,7,7,"No",8,0,65,"Male","FI1B1"
"2438",15979,"FI",30,5,300,8,8,2,3,8,9,9,"No",9,42,65,"Male","FI1D2"
"2439",16030,"FI",60,5,240,2,2,2,1,3,6,5,"No",8,50,50,"Male","FI1B1"
"2440",16132,"FI",60,5,90,7,8,1,3,5,5,8,"Yes",9,50,89,"Female","FI1C1"
"2441",16148,"FI",120,5,480,2,2,2,4,2,1,4,"No",4,60,71,"Male","FI1B1"
"2442",16152,"FI",60,5,120,7,8,3,2,6,8,8,"No",8,41,90,"Male","FI1D7"
"2443",16189,"FI",90,5,150,8,9,4,3,9,9,8,"Yes",8,0,87,"Male","FI1B1"
"2444",16251,"FI",30,5,90,6,8,3,2,8,9,8,"Yes",9,40,79,"Female","FI1C5"
"2445",16255,"FI",5,5,600,8,8,3,3,9,10,9,"Yes",9,50,79,"Male","FI197"
"2446",16289,"FI",0,5,240,7,8,4,2,7,7,8,"Yes",10,25,57,"Female","FI1D2"
"2447",16298,"FI",90,5,120,7,8,3,3,9,9,9,"Yes",8,28,60,"Female","FI1B1"
"2448",16301,"FI",0,5,240,9,9,1,3,0,4,2,"No",10,40,69,"Female","FI1B1"
"2449",16337,"FI",15,5,120,7,6,3,3,7,7,9,"Not eligble",8,40,57,"Male","FI1D5"
"2450",16355,"FI",30,5,510,2,7,1,1,2,3,5,"No",7,0,55,"Female","FI1D9"
"2451",16375,"FI",180,5,630,10,10,3,4,7,9,9,"Yes",8,50,89,"Female","FI1B1"
"2452",16378,"FI",120,5,480,2,5,4,2,8,7,9,"Yes",8,0,85,"Female","FI1B1"
"2453",16383,"FI",20,5,90,4,6,2,2,2,7,8,"Yes",8,7,68,"Female","FI1D2"
"2454",16388,"FI",30,5,150,9,8,3,2,7,10,8,"Yes",9,37,73,"Male","FI1B1"
"2455",16401,"FI",20,5,90,7,3,3,3,8,9,8,"Yes",7,38,58,"Male","FI1D7"
"2456",16404,"FI",30,5,240,8,8,3,4,9,9,9,"Yes",7,38,72,"Female","FI1D2"
"2457",16411,"FI",181,5,180,6,8,3,1,9,10,9,"Yes",4,36,58,"Female","FI1D5"
"2458",16414,"FI",15,5,60,6,7,2,1,5,6,8,"Yes",8,40,75,"Male","FI1C4"
"2459",16433,"FI",0,5,510,5,5,2,1,3,5,5,"No",9,60,71,"Female","FI1B1"
"2460",16461,"FI",60,4,30,8,8,2,3,10,8,10,"Yes",7,18,75,"Female","FI1C5"
"2461",16584,"FI",330,4,180,6,4,3,2,8,8,8,"Yes",2,48,81,"Male","FI1C1"
"2462",16588,"FI",15,5,120,7,7,2,2,8,9,9,"Yes",9,15,71,"Female","FI1C1"
"2463",16641,"FI",60,5,300,7,7,3,4,8,8,10,"Yes",9,40,64,"Female","FI196"
"2464",16646,"FI",30,5,240,6,5,3,2,4,8,7,"Not eligble",3,20,45,"Female","FI1D9"
"2465",16666,"FI",5,5,180,6,8,2,1,7,7,7,"No",9,38,68,"Female","FI196"
"2466",16689,"FI",150,5,15,7,8,1,1,9,9,10,"Yes",9,38,90,"Male","FI194"
"2467",16703,"FI",45,5,150,9,8,2,2,7,8,10,"Yes",9,0,67,"Male","FI1C1"
"2468",16704,"FI",60,5,480,7,7,3,2,9,9,9,"Yes",10,38,86,"Female","FI1B1"
"2469",16712,"FI",60,5,120,7,3,1,1,2,8,4,"No",8,35,78,"Male","FI1D9"
"2470",16717,"FI",180,5,90,9,8,5,2,8,9,10,"Yes",9,30,90,"Male","FI1B1"
"2471",16720,"FI",60,5,60,5,7,2,2,8,9,9,"Yes",9,7,86,"Male","FI196"
"2472",16723,"FI",30,5,60,7,7,2,3,7,9,8,"Yes",8,40,76,"Female","FI1D9"
"2473",16736,"FI",90,5,180,3,7,4,5,9,9,7,"Yes",8,43,54,"Female","FI1D9"
"2474",16760,"FI",60,5,120,7,9,2,1,7,9,6,"No",9,40,74,"Female","FI197"
"2475",16761,"FI",15,5,60,8,5,2,1,6,8,8,"No",8,20,85,"Male","FI1D3"
"2476",16790,"FI",300,5,300,5,5,1,2,5,3,3,"Yes",9,90,84,"Female","FI1D3"
"2477",16807,"FI",90,5,300,7,6,4,4,8,9,10,"Yes",8,55,65,"Female","FI1B1"
"2478",16837,"FI",60,5,180,5,8,1,2,4,6,7,"Yes",5,35,54,"Female","FI1C4"
"2479",16847,"FI",30,5,150,5,4,2,2,3,6,7,"Yes",6,25,78,"Male","FI197"
"2480",16858,"FI",0,5,90,5,5,3,2,5,5,5,"No",8,35,55,"Female","FI197"
"2481",16896,"FI",15,5,180,6,5,3,2,7,6,7,"Not eligble",7,1,56,"Female","FI1C3"
"2482",16902,"FI",30,5,60,4,6,2,1,6,6,6,"Yes",5,30,80,"Female","FI1D3"
"2483",16928,"FI",30,5,240,3,4,3,2,4,7,7,"Yes",8,40,84,"Male","FI1D8"
"2484",16940,"FI",90,5,240,8,8,3,3,8,9,8,"Yes",7,38,69,"Male","FI1B1"
"2485",16943,"FI",30,5,120,7,7,2,4,6,9,9,"Yes",9,30,74,"Male","FI1D5"
"2486",16947,"FI",15,5,600,10,2,2,2,7,8,10,"Yes",10,38,75,"Female","FI197"
"2487",16950,"FI",30,5,240,10,10,3,4,10,10,9,"Yes",9,50,90,"Male","FI1B1"
"2488",16963,"FI",30,5,420,6,6,2,2,7,6,9,"Yes",7,20,55,"Female","FI193"
"2489",17030,"FI",30,5,120,8,8,2,1,8,9,8,"Yes",9,40,82,"Female","FI1B1"
"2490",17074,"FI",30,5,180,7,7,2,2,8,8,7,"No",4,45,59,"Male","FI1C1"
"2491",17092,"FI",60,5,240,7,8,3,3,7,8,9,"Yes",7,30,65,"Male","FI197"
"2492",17111,"FI",60,5,120,8,7,3,3,8,8,8,"No",9,30,89,"Male","FI1B1"
"2493",17126,"FI",180,5,360,7,7,3,3,8,8,8,"Yes",7,12,62,"Female","FI1D8"
"2494",17158,"FI",15,5,150,7,8,2,1,8,9,9,"Yes",8,30,82,"Male","FI1C1"
"2495",17163,"FI",30,5,90,8,8,3,2,7,8,8,"Yes",7,50,73,"Female","FI197"
"2496",17188,"FI",10,5,240,7,6,2,2,6,7,8,"No",6,38,64,"Male","FI1B1"
"2497",17229,"FI",60,5,270,9,8,3,3,8,9,9,"Yes",8,38,90,"Female","FI1B1"
"2498",17231,"FI",60,5,180,4,7,3,3,5,6,8,"Yes",9,38,78,"Male","FI193"
"2499",17241,"FI",30,5,120,5,7,2,2,5,6,3,"Yes",7,50,75,"Male","FI1C5"
"2500",17244,"FI",60,5,480,9,9,4,4,8,10,8,"Yes",9,50,89,"Male","FI200"
"2501",17251,"FI",20,5,240,7,8,2,2,8,9,8,"Yes",10,37,73,"Female","FI1C3"
"2502",17254,"FI",120,5,180,2,6,2,4,1,5,7,"Yes",9,37,70,"Female","FI197"
"2503",17262,"FI",20,5,300,7,7,3,2,8,8,9,"No",9,30,62,"Female","FI1C1"
"2504",17274,"FI",30,5,600,8,8,2,2,7,7,8,"Yes",9,40,70,"Female","FI1B1"
"2505",17329,"FI",180,5,720,4,5,2,2,5,7,8,"No",8,40,63,"Male","FI1B1"
"2506",17401,"FI",120,5,360,8,8,4,5,9,9,9,"Yes",9,60,62,"Male","FI1B1"
"2507",17434,"FI",10,4,180,8,7,3,1,8,8,8,"Not eligble",8,50,52,"Female","FI1D9"
"2508",17450,"FI",30,5,240,8,7,3,2,8,7,8,"Yes",8,37,74,"Female","FI1C1"
"2509",17455,"FI",60,5,330,8,8,4,4,9,9,10,"Yes",7,25,55,"Male","FI1B1"
"2510",17481,"FI",60,5,0,6,3,1,3,2,4,6,"Yes",9,45,61,"Male","FI1B1"
"2511",17498,"FI",150,5,360,4,3,4,4,5,5,8,"Yes",9,65,74,"Male","FI196"
"2512",17541,"FI",60,5,120,8,8,3,2,6,5,7,"Yes",8,45,78,"Male","FI1D9"
"2513",17566,"FI",2,5,360,7,8,3,2,8,9,9,"No",9,30,67,"Male","FI1C2"
"2514",17613,"FI",50,5,450,7,3,3,3,8,9,8,"No",8,30,48,"Male","FI196"
"2515",17630,"FI",1,5,181,8,8,3,2,8,9,8,"Yes",8,40,87,"Male","FI1B1"
"2516",17647,"FI",120,5,60,6,3,2,1,4,9,8,"Yes",8,20,80,"Male","FI1C1"
"2517",17653,"FI",60,5,240,7,8,3,2,7,7,8,"Yes",8,40,79,"Female","FI1B1"
"2518",17655,"FI",90,5,60,8,8,2,3,6,8,9,"Yes",10,37,90,"Female","FI1C1"
"2519",17661,"FI",30,5,120,7,8,3,3,5,9,7,"Yes",8,45,89,"Male","FI1C4"
"2520",17685,"FI",150,5,240,8,8,3,2,9,10,10,"No",9,40,47,"Male","FI1C4"
"2521",17686,"FI",15,5,300,8,9,2,3,9,9,9,"Yes",7,40,76,"Female","FI1B1"
"2522",17717,"FI",60,5,150,8,7,3,2,5,6,7,"Yes",8,37,72,"Female","FI196"
"2523",17734,"FI",60,5,180,9,9,2,2,9,8,9,"Yes",9,28,64,"Female","FI1D2"
"2524",17796,"FI",5,5,480,8,8,2,5,6,9,5,"Yes",8,45,78,"Male","FI1B1"
"2525",17819,"FI",30,5,540,9,9,3,3,7,9,9,"Yes",9,40,64,"Female","FI1B1"
"2526",17821,"FI",30,5,510,3,5,2,2,2,8,8,"Yes",8,40,83,"Female","FI1D2"
"2527",17828,"FI",60,5,200,6,6,3,3,3,3,1,"No",6,48,68,"Female","FI1C5"
"2528",17833,"FI",30,5,60,9,8,4,3,9,10,9,"Yes",9,40,78,"Female","FI1B1"
"2529",17851,"FI",45,5,420,5,4,3,2,4,7,8,"Yes",4,20,49,"Female","FI197"
"2530",17855,"FI",60,5,180,6,7,2,2,6,7,8,"Yes",7,37,81,"Female","FI197"
"2531",17868,"FI",30,5,360,7,6,3,2,8,9,9,"Yes",8,40,65,"Female","FI1D9"
"2532",17909,"FI",90,5,60,5,3,1,4,5,9,3,"Yes",5,40,72,"Male","FI196"
"2533",17912,"FI",120,5,120,6,6,3,3,6,9,9,"Yes",9,38,69,"Female","FI1D9"
"2534",17913,"FI",15,5,240,8,6,2,1,8,8,9,"Yes",9,38,59,"Male","FI1B1"
"2535",17931,"FI",15,5,600,6,7,2,2,6,4,6,"Yes",6,3,62,"Female","FI1D2"
"2536",17935,"FI",120,5,600,8,7,3,4,6,9,10,"Yes",8,40,90,"Male","FI1B1"
"2537",17962,"FI",30,5,120,8,8,3,2,8,8,8,"Yes",9,18,73,"Male","FI1B1"
"2538",17968,"FI",10,5,480,7,7,3,2,6,7,7,"Yes",9,0,60,"Female","FI197"
"2539",17974,"FI",60,5,120,8,8,2,2,8,7,8,"Yes",8,40,64,"Female","FI1D9"
"2540",18022,"FI",30,5,360,9,9,3,2,7,9,8,"Yes",8,32,73,"Female","FI1D8"
"2541",18052,"FI",60,5,300,7,5,2,2,5,7,4,"Yes",9,37,71,"Male","FI193"
"2542",18059,"FI",15,5,240,8,8,4,1,7,8,9,"Yes",9,40,70,"Female","FI1D9"
"2543",18074,"FI",30,5,60,8,8,2,2,9,8,10,"Yes",8,38,62,"Male","FI1D9"
"2544",18101,"FI",90,5,540,9,9,3,3,9,8,8,"Yes",8,42,80,"Male","FI1B1"
"2545",18118,"FI",15,5,900,7,7,3,4,8,9,9,"Yes",7,37,55,"Male","FI1B1"
"2546",18119,"FI",30,5,390,7,8,3,2,8,7,9,"Yes",7,30,57,"Female","FI197"
"2547",18136,"FI",120,5,480,9,9,3,3,8,10,9,"Yes",7,40,84,"Male","FI193"
"2548",18141,"FI",15,5,360,4,6,3,2,7,9,8,"Yes",8,41,61,"Female","FI195"
"2549",18146,"FI",60,5,600,8,7,2,1,9,8,9,"Yes",8,37,74,"Female","FI193"
"2550",18157,"FI",15,5,360,7,9,3,1,9,8,9,"Not eligble",8,30,43,"Female","FI193"
"2551",18181,"FI",60,5,60,9,9,2,2,4,7,8,"Yes",9,40,78,"Female","FI1D7"
"2552",18190,"FI",5,5,330,7,7,2,2,5,7,8,"Yes",8,30,57,"Male","FI1B1"
"2553",18243,"FI",0,5,210,5,6,2,2,7,7,8,"No",7,6,57,"Male","FI1D7"
"2554",18268,"FI",25,5,150,4,6,3,2,10,10,7,"Yes",8,45,56,"Female","FI195"
"2555",18332,"FI",60,5,240,7,6,2,2,6,8,8,"Yes",9,56,69,"Male","FI1B1"
"2556",18339,"FI",30,5,300,7,8,2,2,7,9,7,"Yes",9,57,41,"Male","FI1C1"
"2557",18347,"FI",60,5,240,9,9,3,2,6,9,9,"Yes",8,38,65,"Male","FI1D2"
"2558",18379,"FI",30,5,90,8,8,2,2,3,7,8,"Yes",9,37,76,"Female","FI1B1"
"2559",18418,"FI",120,5,180,6,6,2,1,2,3,7,"Yes",8,38,63,"Male","FI1D2"
"2560",18458,"FI",60,4,60,8,8,3,3,10,10,7,"Yes",9,45,58,"Male","FI195"
"2561",18473,"FI",60,5,180,8,9,2,2,8,9,8,"Yes",9,38,83,"Male","FI1C5"
"2562",18489,"FI",120,5,240,8,9,3,4,10,9,9,"Yes",9,42,69,"Male","FI1C1"
"2563",18546,"FI",30,5,300,7,8,3,4,6,8,9,"Yes",7,30,59,"Male","FI1B1"
"2564",18574,"FI",45,5,480,8,8,3,2,7,8,8,"Yes",10,30,64,"Female","FI1C3"
"2565",18631,"FI",60,5,595,7,7,4,3,9,9,10,"Yes",8,37,70,"Male","FI1B1"
"2566",18674,"FI",20,5,240,9,10,2,3,8,9,8,"Not eligble",9,4,48,"Male","FI1D2"
"2567",18687,"FI",45,5,120,8,9,3,3,10,10,10,"No",10,38,69,"Male","FI1D1"
"2568",18693,"FI",30,5,120,7,9,3,2,8,9,9,"Yes",9,30,81,"Male","FI1C1"
"2569",18711,"FI",60,5,240,7,9,3,3,8,5,9,"Not eligble",7,12,49,"Male","FI1B1"
"2570",18717,"FI",120,5,480,1,2,2,1,1,0,8,"No",8,37,73,"Male","FI1B1"
"2571",18724,"FI",180,5,240,8,8,2,1,6,7,3,"No",8,44,64,"Male","FI1C1"
"2572",18788,"FI",30,5,180,9,9,3,3,8,9,9,"Yes",9,40,80,"Male","FI1B1"
"2573",18825,"FI",60,5,660,7,6,3,3,9,8,9,"Not eligble",8,40,42,"Female","FI1D8"
"2574",18833,"FI",15,5,600,8,8,3,2,8,9,9,"Yes",9,37,68,"Male","FI1D8"
"2575",18897,"FI",120,5,300,5,5,1,2,7,9,8,"Yes",4,37,83,"Female","FI1B1"
"2576",18904,"FI",60,5,720,8,6,3,1,8,8,6,"No",9,30,52,"Female","FI195"
"2577",18914,"FI",30,5,300,8,8,1,3,7,8,8,"Yes",8,38,90,"Female","FI1C3"
"2578",18933,"FI",60,5,180,7,4,2,2,4,8,8,"No",4,40,73,"Male","FI1C1"
"2579",18943,"FI",40,5,45,6,5,2,1,5,6,7,"Yes",7,38,90,"Male","FI1B1"
"2580",18973,"FI",90,5,210,10,8,2,3,8,9,9,"Yes",9,30,55,"Male","FI197"
"2581",18977,"FI",20,5,540,8,7,3,2,8,9,9,"Yes",8,37,70,"Male","FI1D5"
"2582",18991,"FI",45,5,720,8,5,3,5,8,9,8,"Yes",8,40,72,"Female","FI1B1"
"2583",18999,"FI",45,5,30,7,6,3,2,7,8,9,"Yes",9,0,71,"Female","FI1B1"
"2584",19005,"FI",210,5,510,7,8,2,1,6,8,8,"Yes",7,20,83,"Female","FI1B1"
"2585",19016,"FI",30,5,300,8,7,2,2,8,9,8,"Yes",8,39,74,"Female","FI197"
"2586",19031,"FI",30,5,600,6,7,2,2,8,9,8,"Yes",8,42,60,"Male","FI193"
"2587",19042,"FI",30,5,600,8,8,3,3,9,10,10,"Yes",9,37,70,"Male","FI197"
"2588",19048,"FI",60,5,300,7,7,3,3,7,3,8,"Yes",7,45,72,"Male","FI197"
"2589",19051,"FI",60,5,480,7,4,2,2,6,8,8,"Yes",7,39,64,"Male","FI1B1"
"2590",19078,"FI",60,5,180,3,6,2,2,2,7,8,"Yes",8,25,48,"Male","FI1B1"
"2591",19085,"FI",60,5,540,7,6,2,3,7,7,7,"Yes",7,40,83,"Male","FI1C1"
"2592",19090,"FI",20,5,180,8,8,2,2,6,5,8,"Yes",6,16,65,"Female","FI1C1"
"2593",19128,"FI",1,5,30,9,6,2,2,5,8,8,"Yes",4,40,71,"Male","FI195"
"2594",19144,"FI",15,5,15,8,8,2,2,5,7,8,"Yes",9,43,56,"Female","FI1D1"
"2595",19187,"FI",20,5,180,8,9,2,2,8,9,9,"Yes",9,15,63,"Female","FI194"
"2596",19189,"FI",60,5,240,7,8,3,3,7,9,9,"Yes",9,32,79,"Male","FI1D5"
"2597",19212,"FI",120,5,240,6,7,3,2,8,9,8,"Yes",8,33,65,"Female","FI197"
"2598",19215,"FI",60,5,45,8,8,5,2,7,9,9,"Yes",9,40,90,"Male","FI1B1"
"2599",19233,"FI",15,5,75,8,8,2,1,6,10,10,"Yes",9,70,89,"Male","FI1C2"
"2600",19260,"FI",15,5,240,5,3,3,2,5,3,5,"Yes",6,40,61,"Male","FI196"
"2601",19261,"FI",5,5,240,2,0,1,3,0,3,10,"No",8,40,57,"Male","FI1C1"
"2602",19289,"FI",30,5,120,8,8,3,2,7,9,9,"No",8,38,71,"Female","FI1C2"
"2603",19296,"FI",10,5,180,8,9,3,3,9,7,9,"Not eligble",9,3,44,"Male","FI195"
"2604",19314,"FI",45,5,240,8,9,3,2,9,9,9,"Yes",9,50,74,"Male","FI1B1"
"2605",19332,"FI",30,5,240,7,7,3,4,6,9,8,"Yes",9,20,52,"Male","FI1B1"
"2606",19404,"FI",90,5,240,9,9,4,4,8,9,9,"Yes",9,45,60,"Male","FI1B1"
"2607",19414,"FI",60,5,120,7,7,2,2,8,9,8,"Yes",6,37,75,"Male","FI1B1"
"2608",19433,"FI",15,5,120,9,9,2,2,8,9,9,"No",8,60,68,"Male","FI1D1"
"2609",19438,"FI",30,5,595,7,7,3,4,9,9,9,"Yes",9,0,80,"Male","FI1C2"
"2610",19446,"FI",60,5,60,7,7,3,3,8,9,9,"Yes",8,40,73,"Male","FI1D9"
"2611",19471,"FI",30,5,180,7,8,2,3,7,9,10,"Yes",9,38,68,"Female","FI1D7"
"2612",19480,"FI",60,5,180,3,8,2,4,3,2,8,"No",8,60,49,"Male","FI1D9"
"2613",19501,"FI",15,5,45,8,9,2,2,6,8,9,"No",8,38,65,"Female","FI196"
"2614",19508,"FI",0,5,120,7,6,2,3,8,8,7,"Not eligble",7,56,55,"Female","FI196"
"2615",19608,"FI",30,5,180,6,7,2,2,2,2,4,"No",7,33,67,"Female","FI1B1"
"2616",19610,"FI",30,5,360,8,10,2,1,8,8,8,"No",5,10,72,"Female","FI1B1"
"2617",19618,"FI",60,5,600,10,10,3,4,10,10,10,"Yes",9,38,56,"Male","FI1B1"
"2618",19624,"FI",60,5,60,10,9,3,2,8,9,9,"Yes",9,45,86,"Female","FI1D5"
"2619",19627,"FI",15,5,30,10,10,2,3,3,2,8,"Yes",7,38,82,"Female","FI1D1"
"2620",19678,"FI",120,5,300,7,7,4,4,8,7,7,"Yes",8,50,68,"Female","FI196"
"2621",19721,"FI",210,5,240,7,7,3,4,6,7,8,"Yes",9,39,68,"Female","FI1D9"
"2622",19738,"FI",60,5,480,6,4,3,2,8,7,8,"Not eligble",8,8,52,"Female","FI1B1"
"2623",19761,"FI",60,4,15,5,2,1,2,8,8,8,"No",5,38,80,"Male","FI1C1"
"2624",19771,"FI",60,5,300,7,8,4,3,9,9,9,"Yes",8,37,76,"Male","FI1C4"
"2625",19850,"FI",90,5,90,8,8,2,2,8,8,10,"Yes",10,15,79,"Female","FI1D9"
"2626",19856,"FI",0,5,180,8,8,3,2,8,8,7,"Yes",7,30,65,"Female","FI1D1"
"2627",19865,"FI",45,5,480,9,8,3,4,9,8,9,"Yes",10,30,70,"Female","FI1C1"
"2628",19875,"FI",30,5,360,7,8,2,2,8,10,9,"Yes",9,42,75,"Female","FI1C3"
"2629",19884,"FI",60,5,720,6,5,2,3,3,5,5,"Yes",9,50,67,"Male","FI1D2"
"2630",19892,"FI",60,5,180,7,7,1,3,5,9,9,"Yes",9,40,64,"Male","FI1C3"
"2631",19895,"FI",30,5,120,7,7,3,2,8,9,8,"Yes",9,20,69,"Female","FI1C4"
"2632",19897,"FI",30,5,240,6,7,4,2,7,6,7,"Yes",8,38,62,"Female","FI1C1"
"2633",19911,"FI",30,5,120,8,8,2,3,10,10,9,"Yes",10,15,83,"Female","FI197"
"2634",19949,"FI",140,5,600,6,4,2,1,6,7,8,"Yes",9,38,60,"Female","FI193"
"2635",19970,"FI",120,5,180,9,8,4,4,9,9,9,"Yes",9,40,54,"Male","FI196"
"2636",19980,"FI",120,5,570,8,9,2,3,2,8,9,"Yes",10,0,86,"Female","FI1B1"
"2637",19985,"FI",45,5,540,9,8,3,4,8,5,9,"Yes",9,30,80,"Male","FI1D9"
"2638",20000,"FI",30,5,540,2,6,3,3,4,8,8,"Yes",8,38,54,"Male","FI1B1"
"2639",20013,"FI",60,5,60,9,9,3,1,8,8,9,"Yes",8,38,89,"Male","FI1B1"
"2640",20056,"FI",60,5,180,7,8,3,2,9,9,9,"Yes",9,30,60,"Female","FI1B1"
"2641",20085,"FI",15,5,660,7,9,2,1,8,7,8,"Yes",6,40,59,"Female","FI1B1"
"2642",20093,"FI",30,5,120,7,8,1,3,4,5,6,"Not eligble",8,30,43,"Male","FI1D3"
"2643",20117,"FI",15,5,480,7,8,2,1,8,9,9,"Yes",8,40,69,"Female","FI1C1"
"2644",20215,"FI",60,5,60,7,8,2,2,9,10,9,"Yes",9,0,87,"Male","FI197"
"2645",20257,"FI",60,5,540,9,8,3,3,6,7,9,"Yes",4,45,67,"Male","FI1B1"
"2646",20274,"FI",60,5,600,7,8,2,2,2,8,7,"Yes",8,37,58,"Male","FI197"
"2647",20289,"FI",15,5,480,6,5,2,2,9,9,9,"Yes",4,35,49,"Female","FI1B1"
"2648",20311,"FI",15,5,150,7,8,2,1,6,7,8,"No",9,15,70,"Female","FI1D2"
"2649",20320,"FI",60,5,600,7,7,2,4,7,8,8,"Yes",9,40,76,"Male","FI1C1"
"2650",20331,"FI",0,5,120,8,8,1,4,5,8,8,"Yes",10,38,61,"Female","FI1C1"
"2651",20386,"FI",90,5,120,8,8,2,2,8,8,9,"Yes",8,37,74,"Male","FI1C1"
"2652",20388,"FI",5,5,90,4,5,2,2,7,8,9,"Yes",9,38,76,"Female","FI1B1"
"2653",20394,"FI",90,5,495,5,8,2,4,6,8,9,"Not eligble",7,18,41,"Male","FI196"
"2654",20402,"FI",30,5,900,8,8,3,2,8,8,8,"No",10,36,62,"Female","FI1B1"
"2655",20416,"FI",60,5,240,7,7,3,3,6,7,8,"No",7,18,53,"Female","FI1C3"
"2656",20440,"FI",5,5,420,7,6,3,1,5,6,6,"Yes",7,30,59,"Male","FI196"
"2657",20452,"FI",15,5,15,7,7,2,2,8,8,9,"Yes",9,0,64,"Female","FI1D7"
"2658",20486,"FI",45,5,120,7,6,1,2,8,10,9,"Yes",9,42,84,"Male","FI196"
"2659",20488,"FI",60,5,60,8,9,3,2,8,8,8,"Yes",9,38,90,"Female","FI196"
"2660",20496,"FI",10,5,240,9,8,2,1,7,9,6,"Yes",7,50,72,"Male","FI1D9"
"2661",20525,"FI",30,5,120,9,8,2,1,6,8,8,"Yes",10,20,90,"Female","FI1C5"
"2662",20538,"FI",30,5,90,8,8,2,1,8,9,9,"Yes",9,60,87,"Female","FI1C1"
"2663",20556,"FI",90,5,60,9,9,1,2,7,10,10,"Yes",10,50,90,"Male","FI1B1"
"2664",20560,"FI",30,5,120,8,7,2,2,6,8,8,"Yes",9,40,48,"Male","FI1B1"
"2665",20605,"FI",30,5,30,9,8,4,2,8,9,8,"Yes",8,30,90,"Female","FI195"
"2666",20661,"FI",60,5,480,7,6,4,3,7,5,7,"Not eligble",7,30,44,"Male","FI1B1"
"2667",20670,"FI",75,5,570,9,8,2,2,9,9,9,"Yes",9,32,84,"Female","FI197"
"2668",20673,"FI",5,5,60,9,8,1,1,1,5,8,"No",9,8,71,"Female","FI193"
"2669",20686,"FI",30,5,600,6,4,2,2,6,6,5,"Yes",7,40,67,"Male","FI1B1"
"2670",20697,"FI",60,5,210,7,8,3,3,8,8,8,"Yes",7,42,74,"Female","FI1B1"
"2671",20712,"FI",30,5,180,4,7,3,2,7,8,8,"Yes",9,39,64,"Female","FI1B1"
"2672",20719,"FI",60,5,600,3,4,3,1,3,1,7,"Not eligble",8,15,48,"Female","FI1B1"
"2673",20744,"FI",15,5,30,8,7,2,2,7,8,7,"Yes",9,0,90,"Male","FI1B1"
"2674",20795,"FI",30,5,960,9,8,3,4,9,8,8,"Yes",9,40,79,"Male","FI1B1"
"2675",20802,"FI",30,5,210,8,8,2,2,8,9,9,"No",9,38,50,"Male","FI1D5"
"2676",20828,"FI",30,5,120,8,8,2,2,6,7,7,"Yes",8,38,72,"Female","FI1C1"
"2677",20848,"FI",60,5,480,8,9,3,2,9,9,8,"Yes",10,15,71,"Female","FI1D8"
"2678",20889,"FI",30,5,30,5,5,2,2,2,7,8,"Yes",7,42,62,"Male","FI1D9"
"2679",20890,"FI",10,5,90,10,10,1,1,1,5,1,"Yes",9,15,90,"Male","FI1D8"
"2680",20928,"FI",60,5,360,8,4,3,3,8,7,9,"Not eligble",6,35,40,"Female","FI197"
"2681",20943,"FI",120,5,150,3,6,1,1,4,6,7,"No",9,65,64,"Male","FI1B1"
"2682",20959,"FI",60,4,120,8,7,3,2,5,9,8,"Yes",8,38,90,"Male","FI197"
"2683",20962,"FI",165,5,225,7,8,2,4,6,8,5,"Yes",8,40,84,"Male","FI1B1"
"2684",20964,"FI",30,5,510,10,8,1,1,8,9,9,"Yes",9,37,84,"Female","FI1D3"
"2685",20976,"FI",30,5,90,8,10,2,3,9,8,9,"Yes",6,40,79,"Male","FI197"
"2686",21005,"FI",90,5,240,8,6,4,5,6,9,8,"Yes",8,25,75,"Male","FI1C1"
"2687",21017,"FI",30,5,90,7,6,3,3,7,8,7,"Yes",8,40,71,"Male","FI1C1"
"2688",21082,"FI",60,5,180,9,9,3,3,9,9,7,"Yes",8,45,84,"Female","FI1D2"
"2689",21090,"FI",60,5,660,9,9,2,2,7,4,8,"Yes",10,40,83,"Male","FI1C1"
"2690",21092,"FI",120,5,120,5,9,2,4,2,9,7,"Yes",9,55,75,"Male","FI1C4"
"2691",21093,"FI",30,5,600,8,7,4,2,8,10,7,"Yes",8,40,64,"Female","FI200"
"2692",21094,"FI",90,5,300,9,8,2,3,8,9,9,"No",7,50,84,"Female","FI1B1"
"2693",21204,"FI",30,5,480,8,6,2,3,8,2,9,"Yes",7,30,71,"Male","FI197"
"2694",21218,"FI",180,5,180,8,8,4,4,8,9,10,"Yes",10,46,85,"Male","FI1C1"
"2695",21224,"FI",30,5,240,8,8,3,3,7,9,8,"Yes",8,40,71,"Female","FI1B1"
"2696",21235,"FI",5,5,600,7,8,2,3,7,10,9,"No",9,38,51,"Male","FI1D2"
"2697",21239,"FI",60,5,600,8,6,3,2,7,7,9,"Yes",7,30,62,"Male","FI196"
